time,Open MSFT,High MSFT,Low MSFT,Close MSFT,Volume MSFT,Open GOOG,High GOOG,Low GOOG,Close GOOG,Volume GOOG,Open GOLD,High GOLD,Low GOLD,Close GOLD,Volume GOLD,Open SP500,High SP500,Low SP500,Close SP500,Volume SP500,Open DJI30,High DJI30,Low DJI30,Close DJI30,Volume DJI30,Open AAPL,High AAPL,Low AAPL,Close AAPL,Volume AAPL,Open EUR/USD,High EUR/USD,Low EUR/USD,Close EUR/USD,Open USD/CAD,High USD/CAD,Low USD/CAD,Close USD/CAD,Open USD/AUD,High USD/AUD,Low USD/AUD,Close USD/AUD,Open USD/CNY,High USD/CNY,Low USD/CNY,Close USD/CNY,Open USD/GBP,High USD/GBP,Low USD/GBP,Close USD/GBP,Open AMZN,High AMZN,Low AMZN,Close AMZN,Volume AMZN,Open CAC40,High CAC40,Low CAC40,Close CAC40,Volume CAC40,Open DAX30,High DAX30,Low DAX30,Close DAX30,Volume DAX30,Open RUSSEL2000,High RUSSEL2000,Low RUSSEL2000,Close RUSSEL2000,Volume RUSSEL2000,Open EUROSTOCK50,High EUROSTOCK50,Low EUROSTOCK50,Close EUROSTOCK50,Volume EUROSTOCK50,Open INTEL,High INTEL,Low INTEL,Close INTEL,Volume INTEL
2020-03-03,173.8000,175.0000,162.2600,164.5100,71677019,1399.4200,1410.1500,1332.0000,1341.3900,2402326,20.1800,21.2700,19.7000,20.6200,32385476,2471.5073,2495.2809,2471.2378,2479.5650,411481,26762.4707,27084.5898,25706.2793,25917.4102,647080000,303.6700,304.0000,285.8000,289.3200,79868852,1.1139,1.1214,1.1094,1.1169,1.3327,1.3391,1.3316,1.3382,1.5293,1.5360,1.5047,1.5186,6.9624,6.9833,6.9606,6.9630,0.7838,0.7838,0.7786,0.7805,1975.3700,1996.3300,1888.0900,1908.9900,7534491,5408.1499,5509.2798,5371.6602,5393.1699,186265500,12013.0596,12272.9902,11906.8203,11985.3896,195936600,1087.4406,1096.3399,1082.1140,1085.5207,862865,3355.5200,3448.2400,3354.3000,3371.9700,79445600,45.2200,46.5600,44.9100,45.8700,94268
2020-03-02,165.3100,172.9200,162.3100,172.7900,71030810,1351.6100,1390.8700,1326.8200,1389.1100,2431468,19.4200,19.9400,19.1400,19.8600,25290587,2453.7085,2492.1594,2449.7329,2471.5073,748805,25590.5098,26706.1699,25391.9609,26703.3203,637200000,282.2800,301.4400,277.7200,298.8100,85349339,1.1046,1.1185,1.1035,1.1139,1.3436,1.3440,1.3312,1.3327,1.5418,1.5418,1.5220,1.5300,6.9737,6.9768,6.9542,6.9609,0.7810,0.7847,0.7782,0.7843,1906.4900,1954.5100,1870.0000,1953.9500,6761651,5416.0200,5430.0498,5197.5698,5333.5200,201844000,12030.2695,12121.5996,11624.6299,11857.8701,207214100,1088.9232,1098.2065,1087.4261,1087.4406,252322,3355.3301,3406.3999,3257.9900,3338.8301,90017600,46.4500,46.4500,44.7100,45.6700,119627
2020-02-28,152.4100,163.7100,152.0000,162.0100,97073557,1277.5000,1341.1400,1271.0000,1339.3300,3790618,18.3500,19.1300,18.0300,19.0400,40580307,2434.2376,2463.7556,2433.7594,2453.7085,214587,25270.8301,25494.2402,24681.0098,25409.3594,915990000,257.2600,278.4100,256.3700,273.3600,106721230,1.1002,1.1053,1.0949,1.1029,1.3384,1.3464,1.3374,1.3395,1.5209,1.5539,1.5181,1.5365,7.0042,7.0122,6.9819,6.9921,0.7756,0.7856,0.7740,0.7798,1814.6300,1889.7600,1811.1300,1883.7500,9493797,5310.8198,5376.0498,5229.5601,5309.8999,268468000,11891.8701,12008.5898,11724.1201,11890.3496,274623700,1094.5025,1094.6663,1081.9541,1088.9232,93571,3431.5200,3431.5200,3283.1799,3329.4900,123088500,44.5200,46.3450,44.1400,45.5500,157661
2020-02-27,163.3200,167.0300,157.9800,158.1800,93174906,1362.0600,1371.7000,1317.1700,1318.0900,2978300,21.3800,21.4500,19.6800,19.7800,28267596,2434.2955,2435.3978,2433.8494,2434.2376,614580,26526.0000,26775.3105,25752.8203,25766.6406,664980000,281.1000,286.0000,272.9600,273.5200,80151381,1.0882,1.1007,1.0878,1.1002,1.3337,1.3394,1.3312,1.3383,1.5271,1.5279,1.5170,1.5209,7.0159,7.0216,7.0044,7.0044,0.7750,0.7775,0.7724,0.7757,1934.3800,1975.0000,1882.7600,1884.3000,8143993,5571.7202,5613.7202,5421.3101,5495.6001,216328100,12526.5996,12593.6201,12211.6299,12367.4600,191240900,1099.0403,1101.3271,1088.1037,1094.5025,956333,3553.0500,3553.0500,3410.7000,3455.9199,86756400,44.0000,46.9899,42.9600,45.9600,114457
2020-02-26,169.7100,173.2600,168.2100,170.1700,56387148,1396.1400,1415.7000,1379.0000,1393.1800,2204037,21.0000,21.3800,20.8900,21.0900,18550120,2437.0900,2438.3981,2415.8475,2434.2955,703232,27159.4609,27542.7793,26890.9707,26957.5898,472450000,286.5300,297.8800,286.5000,292.6500,49678431,1.0881,1.0909,1.0853,1.0882,1.3286,1.3338,1.3267,1.3337,1.5155,1.5281,1.5134,1.5271,7.0244,7.0253,7.0163,7.0227,0.7691,0.7756,0.7687,0.7749,1970.2800,2014.6700,1960.4500,1979.5900,5240402,5646.1401,5707.3101,5526.1401,5684.5498,161976300,12682.1602,12849.1699,12368.0498,12774.8799,163618900,1092.8375,1100.0663,1088.4711,1099.0403,329127,3567.0300,3595.8000,3467.5801,3577.6799,71790400,45.2500,45.9600,44.9500,45.2300,73599
2020-02-25,174.2000,174.8400,167.6462,168.0700,68073295,1433.0000,1438.1400,1382.4000,1388.4500,2478278,21.7000,22.0800,21.2400,21.2500,26490009,2442.0024,2460.6810,2416.4529,2437.0900,424121,28037.6504,28149.1992,26997.6191,27081.3594,513270000,300.9500,302.5300,286.1300,288.0800,57668364,1.0852,1.0890,1.0828,1.0880,1.3291,1.3306,1.3263,1.3285,1.5143,1.5181,1.5096,1.5150,7.0127,7.0195,7.0094,7.0135,0.7737,0.7743,0.7682,0.7691,2026.4200,2034.6000,1958.4200,1972.7400,6219094,5825.3701,5828.4600,5670.7100,5679.6802,143623800,13132.0400,13132.0400,12778.6602,12790.4902,129552500,1091.8048,1094.5605,1085.2975,1092.8375,487806,3655.8401,3668.7000,3568.4800,3572.5100,62808900,48.2000,48.2000,45.0200,45.2500,66232
2020-02-24,167.7700,174.5500,163.2300,170.8900,68311066,1426.1100,1436.9700,1411.3900,1421.5900,2867053,22.5000,22.5700,21.7300,22.0300,29161223,2434.0806,2447.6534,2427.6029,2442.0024,669163,28402.9297,28402.9297,27912.4395,27960.8008,452580000,297.2600,304.1800,289.2300,298.1800,55548828,1.0830,1.0872,1.0804,1.0852,1.3256,1.3308,1.3244,1.3290,1.5156,1.5178,1.5102,1.5149,7.0409,7.0409,7.0276,7.0294,0.7721,0.7759,0.7719,0.7737,2003.1800,2039.3000,1987.9700,2009.2900,6546997,5875.8599,5884.8599,5765.1699,5791.8701,175269600,13231.3799,13236.5801,12982.1396,13035.2402,165148900,1090.4198,1091.9002,1086.4370,1091.8048,928954,3762.3501,3762.3501,3632.2900,3647.9800,79995300,48.9100,49.0500,48.0395,48.1900,49765
2020-02-21,183.1700,183.5000,177.2500,178.5900,48600385,1508.0300,1512.2100,1480.4400,1485.1100,1732273,21.4500,21.6066,21.1700,21.4400,19949160,2437.4724,2439.6796,2415.3830,2434.0806,176227,29146.5293,29146.5293,28892.6992,28992.4102,311210000,318.6200,320.4500,310.5000,313.0500,32426415,1.0787,1.0863,1.0783,1.0847,1.3257,1.3269,1.3198,1.3224,1.5123,1.5182,1.5058,1.5085,7.0286,7.0428,7.0268,7.0271,0.7764,0.7765,0.7704,0.7717,2142.1500,2144.5500,2088.0000,2095.9700,4650740,6035.0298,6067.2900,5995.1401,6029.7202,97327600,13609.9404,13689.2305,13500.5000,13579.3301,108765400,1080.6044,1090.6179,1079.5177,1090.4198,973375,3816.5100,3827.3601,3776.8201,3800.3799,48443600,51.5700,51.5700,50.1950,50.4000,39043
2020-02-20,186.9500,187.2500,181.1000,184.4200,36862376,1522.0000,1529.6400,1506.8200,1518.1500,1096552,20.9400,21.3100,20.7150,20.7700,16588307,2436.1094,2444.7502,2426.4294,2437.4724,255732,29296.2500,29368.4492,28959.6504,29219.9805,287780000,322.6300,324.6500,318.2100,320.3000,25141489,1.0808,1.0821,1.0777,1.0787,1.3224,1.3269,1.3207,1.3256,1.4973,1.5125,1.4940,1.5120,7.0082,7.0257,7.0045,7.0230,0.7740,0.7780,0.7734,0.7763,2173.0700,2176.7900,2127.4500,2153.1000,3131342,6105.1699,6110.9502,6062.2998,6062.2998,91055800,13774.4404,13788.4102,13664.0000,13664.0000,86435200,1086.2896,1088.6460,1077.7967,1080.6044,571126,3867.2800,3867.2800,3822.9800,3822.9800,41279700,51.6900,51.9950,51.1670,51.7100,36050
2020-02-19,188.0600,188.1800,186.4700,187.2800,29997471,1525.0700,1532.1100,1521.4000,1526.6900,949268,20.8100,21.0400,20.4000,21.0000,20175464,2437.4798,2456.4814,2430.6606,2436.1094,753740,29312.6992,29409.0898,29274.3809,29348.0293,240640000,320.0000,324.5700,320.0000,323.6200,23495991,1.0795,1.0812,1.0780,1.0808,1.3255,1.3257,1.3212,1.3224,1.4950,1.5000,1.4904,1.4975,7.0077,7.0127,6.9892,6.9983,0.7692,0.7749,0.7680,0.7739,2167.8000,2185.1000,2161.1200,2170.2200,2561165,6086.1099,6111.4102,6072.6602,6111.2402,80156900,13751.0498,13789.0000,13710.7803,13789.0000,90192900,1079.6924,1086.5390,1076.7646,1086.2896,316219,3846.3899,3865.4299,3846.3899,3865.1799,40369200,51.5500,52.1900,51.5300,51.8700,36836
2020-02-18,185.6050,187.7000,185.5000,187.2300,27853113,1515.0000,1531.6300,1512.5900,1519.6700,1121140,19.8500,20.6500,19.7450,20.5800,27961883,2460.8262,2461.5116,2421.7844,2437.4798,797363,29282.7793,29330.1602,29116.8105,29232.1895,256600000,315.3600,319.7500,314.6100,319.0000,38190545,1.0837,1.0837,1.0785,1.0794,1.3232,1.3278,1.3229,1.3255,1.4893,1.4981,1.4889,1.4951,6.9847,7.0069,6.9847,6.9963,0.7689,0.7709,0.7664,0.7691,2125.0200,2166.0700,2124.1100,2155.6700,2951070,6042.3799,6079.5000,6039.9399,6056.8198,89930300,13668.9404,13731.3896,13660.4502,13681.1904,82088700,1080.3374,1082.4267,1072.8230,1079.6924,131520,3848.5601,3848.5601,3826.2300,3836.5400,53062800,51.7600,51.9500,51.3000,51.5200,40818
2020-02-14,183.2500,185.4100,182.6500,185.3500,23149516,1515.6000,1520.7400,1507.3400,1520.7400,1197836,19.0000,19.7300,18.9300,19.7200,20173717,2457.8952,2463.6165,2448.1084,2460.8262,809722,29440.4707,29463.0391,29283.1797,29398.0801,231000000,324.7300,325.9800,322.8500,324.9500,20028447,1.0840,1.0861,1.0826,1.0830,1.3267,1.3269,1.3231,1.3251,1.4883,1.4902,1.4852,1.4889,6.9819,6.9883,6.9792,6.9869,0.7667,0.7690,0.7656,0.7664,2155.6800,2159.0400,2125.8900,2134.8700,2606169,6096.0698,6096.0698,6067.1401,6069.3501,77985500,13756.4697,13788.5098,13728.1201,13744.2100,66314900,1072.3895,1090.9851,1070.2183,1080.3374,623447,3847.9299,3851.4199,3835.7900,3840.9700,29903600,50.0400,51.7800,49.9800,51.7100,58164
2020-02-13,183.0800,186.2300,182.8720,183.7100,35295834,1512.6900,1527.1800,1504.6000,1514.6600,929730,18.5800,19.1700,18.5531,18.9300,15263360,2476.5970,2477.5073,2453.8219,2457.8952,462784,29436.0293,29535.4004,29345.9297,29423.3105,291150000,324.1900,326.2200,323.3500,324.8700,23686892,1.0872,1.0889,1.0833,1.0840,1.3251,1.3271,1.3236,1.3266,1.4848,1.4904,1.4823,1.4886,6.9757,6.9853,6.9757,6.9772,0.7718,0.7727,0.7652,0.7667,2144.9900,2170.2800,2142.0000,2149.8700,3031791,6076.9199,6098.2598,6028.2798,6093.1401,92665700,13695.9297,13745.4297,13576.9600,13745.4297,92087000,1073.2257,1077.3225,1067.2921,1072.3895,391633,3849.1001,3849.1001,3799.9800,3846.7400,38736400,51.1900,51.6600,50.0100,50.0800,75034
2020-02-12,185.5800,185.8500,181.8500,184.7100,47062921,1514.4800,1520.6900,1508.1100,1518.2700,1167565,18.5100,18.6800,18.2000,18.4100,11827238,2491.6137,2497.5829,2474.1240,2476.5970,565766,29406.7500,29568.5703,29406.7500,29551.4199,309530000,321.4700,327.2200,321.4700,327.2000,28432573,1.0919,1.0926,1.0863,1.0871,1.3287,1.3296,1.3231,1.3251,1.4893,1.4895,1.4810,1.4844,6.9691,6.9764,6.9594,6.9719,0.7719,0.7722,0.7698,0.7716,2163.2000,2180.2500,2155.2900,2160.0000,3334264,6064.2500,6104.7300,6062.9702,6104.7300,92681200,13671.1504,13758.7002,13658.1504,13749.7803,86733300,1076.5573,1080.9455,1063.0780,1073.2257,574672,3829.6599,3854.4299,3829.6599,3854.4299,42244300,51.6700,52.0200,51.3100,51.4400,64068
2020-02-11,190.6500,190.7000,183.5000,184.4400,53159906,1511.8100,1529.6300,1505.6400,1508.7900,1344633,18.3700,18.6400,18.2600,18.4400,10378520,2506.7299,2509.0427,2488.0481,2491.6137,646209,29390.7109,29415.3906,29210.4707,29276.3398,279540000,323.6000,323.9000,318.7100,319.6100,23580780,1.0911,1.0925,1.0891,1.0919,1.3315,1.3320,1.3272,1.3285,1.4958,1.4964,1.4839,1.4887,6.9763,6.9820,6.9628,6.9660,0.7743,0.7755,0.7711,0.7718,2150.9000,2185.9500,2136.0000,2150.8000,5746011,6047.9600,6060.9702,6032.7900,6054.7598,81568400,13604.7402,13668.4297,13557.9600,13627.8398,104753500,1081.1562,1082.2139,1069.4139,1076.5573,272094,3804.4600,3832.0601,3804.4600,3825.8401,38624600,48.6900,51.7450,48.2900,51.6800,79474
2020-02-10,183.5800,188.8400,183.2500,188.7000,35844267,1474.3200,1509.5000,1474.3200,1508.6800,1419876,18.2600,18.5200,18.1598,18.4300,8164851,2509.6583,2527.2970,2500.7623,2506.7299,420883,28995.6602,29278.0703,28995.6602,29276.8203,250510000,314.1800,321.5500,313.8500,321.5500,27337215,1.0944,1.0958,1.0907,1.0910,1.3305,1.3330,1.3286,1.3315,1.4981,1.4997,1.4905,1.4954,7.0015,7.0025,6.9776,6.9844,0.7760,0.7768,0.7724,0.7743,2085.0100,2135.6000,2084.9600,2133.9100,5056235,6008.4800,6018.3101,5993.9102,6015.6699,65703100,13476.0000,13501.7402,13445.4102,13494.0303,60456500,1076.6938,1081.1693,1072.8058,1081.1562,734228,3794.1799,3794.1799,3779.1001,3793.1799,28458100,48.7300,49.0600,48.3700,48.5900,44518
2020-02-07,182.8450,185.6300,182.4800,183.8900,33529074,1467.3000,1485.8400,1466.3500,1479.2300,1172270,18.4500,18.5600,18.0800,18.1900,8731445,2499.2021,2517.1055,2485.5104,2509.6583,66599,29286.9199,29286.9199,29056.9805,29102.5098,252860000,322.3700,323.4000,318.0000,320.0300,29421012,1.0981,1.0985,1.0940,1.0944,1.3286,1.3321,1.3278,1.3311,1.4848,1.5006,1.4842,1.4979,6.9771,7.0025,6.9769,7.0024,0.7734,0.7762,0.7719,0.7756,2041.9900,2098.5300,2038.1000,2079.2800,5095347,6027.5400,6044.9702,5999.9502,6029.7500,82348500,13530.7695,13551.0303,13463.9805,13513.8096,87036900,1078.0744,1080.1411,1075.5110,1076.6938,324918,3804.8601,3806.0601,3782.2100,3798.4900,39161600,50.0800,50.0800,48.3700,48.7600,44461
2020-02-06,180.9700,183.8199,180.0590,183.6300,27751381,1450.3300,1482.0000,1449.5700,1476.2300,1679384,18.1200,18.4900,18.0500,18.3500,7471275,2497.3474,2515.2669,2486.9384,2499.2021,105273,29388.5801,29408.0508,29246.9297,29379.7695,263700000,322.5700,325.2200,320.2648,325.2100,26356385,1.1000,1.1014,1.0963,1.0980,1.3283,1.3309,1.3265,1.3286,1.4818,1.4863,1.4778,1.4849,6.9759,6.9819,6.9599,6.9708,0.7692,0.7741,0.7692,0.7734,2041.0200,2056.3000,2024.8000,2050.2300,3182954,6045.0400,6050.9399,6008.5498,6038.1802,106153100,13570.3301,13606.9697,13533.6602,13574.8203,114567900,1081.6263,1086.6982,1070.5133,1078.0744,69196,3791.0701,3808.7400,3790.5400,3805.5200,52514600,49.2900,51.5000,48.8900,49.8800,100184
2020-02-05,184.0300,184.2000,178.4101,179.9000,39186324,1462.4200,1463.8400,1430.5600,1448.2300,1986157,18.0000,18.1700,17.9600,18.0200,7386153,2492.4359,2498.1238,2490.2898,2497.3474,708707,29048.7305,29308.8906,29000.8496,29290.8496,357540000,323.5200,324.7600,318.9500,321.4500,29706718,1.1045,1.1048,1.0992,1.0999,1.3277,1.3303,1.3258,1.3283,1.4831,1.4869,1.4758,1.4819,7.0001,7.0065,6.9699,6.9726,0.7673,0.7717,0.7652,0.7693,2071.0200,2071.0200,2032.0000,2039.8700,4376174,5919.0601,6004.3301,5912.4902,5985.3999,107839000,13224.2695,13488.5801,13223.1396,13478.3301,108453900,1084.1636,1086.7424,1079.5153,1081.6263,356104,3727.2200,3782.8501,3717.7200,3777.8401,56845600,49.6900,49.6900,48.2250,49.1100,54143
